"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5,J8";"PinSocket_1x18_P2.54mm_Vertical";2;"Conn_01x18";;;
2;"R1,R6,R3,R2,R4,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"R";;;
3;"J13,J15,J17,J16,J14";"PinSocket_1x06_P2.54mm_Vertical";5;"Conn_01x06_Socket";;;
4;"JP2,G5,JP4,JP3";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";4;"J2B";;;
5;"J6";"PinSocket_1x18_P2.54mm_Vertical";1;"Conn_01x18_Socket";;;
6;"D3,D2,D1";"LED_D3.0mm";3;"LED";;;
7;"J9,J10";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04_Pin";;;
8;"H3,H4,H1,H2";"MountingHole_2.5mm";4;"MountingHole";;;
9;"J20,J19";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Socket";;;
10;"J2";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
11;"J4,J7";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20_Socket";;;
12;"J11,J12,J1,J3";"PinSocket_1x20_P2.54mm_Vertical";4;"Conn_01x20_Socket";;;
13;"J18";"Wago_734-134_1x04_P3.50mm_Vertical";1;"Conn_01x04";;;
